SkuRefId,Name,Value
94124836,Size,6
95397041,Size,6.5
96213270,Size,7
81683779,Size,7.5
94125192,Size,8
96213294,Size,8.5
95938467,Size,9
80579505,Size,9.5
94339934,Size,10
94884155,Size,10.5
96172908,Size,11
96601179,Size,11.5
56361110,Size,12
95936227,Size,6
95591410,Size,6.5
95938416,Size,7
94114344,Size,7.5
96049334,Size,8
96405104,Size,8.5
95946245,Size,9
93952419,Size,9.5
88802189,Size,10
91271077,Size,10.5
94426561,Size,11
95754979,Size,11.5
95938674,Size,12
94956945,Size,6
91271256,Size,6.5
81688992,Size,7
96410415,Size,7.5
94260876,Size,8
94190660,Size,8.5
93390025,Size,9
94394812,Size,9.5
91270569,Size,10
95877707,Size,10.5
95666481,Size,11
96784201,Size,11.5
95767901,Size,12
94338311,Size,6
94338292,Size,6.5
96062253,Size,7
96471963,Size,7.5
95933805,Size,8
93389458,Size,8.5
95930957,Size,9
94476360,Size,9.5
69851531,Size,10
93058573,Size,10.5
87134449,Size,11
92830134,Size,11.5
80999819,Size,12
91270942,Size,6
94260888,Size,6.5
95397080,Size,7
96031135,Size,7.5
95938213,Size,8
94124921,Size,8.5
93096725,Size,9
85087073,Size,9.5
92023284,Size,10
95939154,Size,10.5
32448426,Size,11
94124849,Size,11.5
87140613,Size,12
94957822,Size,6
92022709,Size,6.5
97188521,Size,7
96475848,Size,7.5
96062214,Size,8
56361231,Size,8.5
95989308,Size,9
95606750,Size,9.5
94338280,Size,10
94394658,Size,10.5
95264064,Size,11
95954549,Size,11.5
93389421,Size,12
96213282,Size,6
94245730,Size,6.5
92911694,Size,7
96213228,Size,7.5
56361134,Size,8
95738790,Size,8.5
92384115,Size,9
87134136,Size,9.5
93058585,Size,10
96017187,Size,10.5
96049277,Size,11
96062292,Size,11.5
66733173,Size,12
81684071,Size,6
95067683,Size,6.5
94339610,Size,7
87140570,Size,7.5
95005232,Size,8
92912339,Size,8.5
96492092,Size,9
85087103,Size,9.5
93423241,Size,10
80999943,Size,10.5
94339634,Size,11
94134501,Size,11.5
94492931,Size,12
95369233,Size,6
96405129,Size,6.5
93501475,Size,7
54483832,Size,7.5
93609692,Size,8
96037658,Size,8.5
92829758,Size,9
91271013,Size,9.5
93951231,Size,10
95325814,Size,10.5
95938398,Size,11
95859400,Size,11.5
69851914,Size,12
94608268,Size,6
96234260,Size,6.5
96062541,Size,7
95264231,Size,7.5
95931070,Size,8
96234273,Size,8.5
95989362,Size,9
93504087,Size,9.5
94685943,Size,10
93501487,Size,10.5
94394633,Size,11
32448480,Size,11.5
94947520,Size,12
95369546,Size,6
92912269,Size,6.5
94114617,Size,7
95938540,Size,7.5
87140528,Size,8
93952377,Size,8.5
95325865,Size,9
96492150,Size,9.5
94047338,Size,10
96409740,Size,10.5
94978350,Size,11
90766589,Size,11.5
91270602,Size,12
94394290,Size,6
95597850,Size,6.5
95859437,Size,7
96405171,Size,7.5
96213377,Size,8
93501448,Size,8.5
95668995,Size,9
95994765,Size,9.5
96017302,Size,10
94958833,Size,10.5
94911052,Size,11
94668996,Size,11.5
87134846,Size,12
93389937,Size,6
96068499,Size,6.5
95689265,Size,7
80999846,Size,7.5
93060124,Size,8
94260793,Size,8.5
81689024,Size,9
96287257,Size,9.5
87133016,Size,10
96062238,Size,10.5
95397532,Size,11
85087277,Size,11.5
93502422,Size,12
94295650,Size,6
87538454,Size,6.5
94223725,Size,7
96031218,Size,7.5
94394702,Size,8
89796749,Size,8.5
94125095,Size,9
94508656,Size,9.5
94578980,Size,10
96540088,Size,10.5
95933775,Size,11
94237001,Size,11.5
96475850,Size,12
96234343,Size,6
95067777,Size,6.5
95641213,Size,7
95931477,Size,7.5
81683536,Size,8
80331767,Size,8.5
81689036,Size,9
96212953,Size,9.5
95325662,Size,10
95669002,Size,10.5
95930887,Size,11
93386002,Size,11.5
93389582,Size,12
96068505,Size,6
87970474,Size,6.5
95376363,Size,7
95072065,Size,7.5
93501596,Size,8
96213009,Size,8.5
96784292,Size,9
93503133,Size,9.5
95933602,Size,10
95694741,Size,10.5
92023218,Size,11
94476179,Size,11.5
93389516,Size,12
93389964,Size,6
96481040,Size,6.5
96341096,Size,7
92023393,Size,7.5
93502568,Size,8
87134885,Size,8.5
95765297,Size,9
95954715,Size,9.5
95606748,Size,10
95736669,Size,10.5
